SegmentIndex,SegmentName,W25_Min,W25_Max,Term,Basis,Coefficient,BaseTempC,TempScaleC,RidgeLambda,UseWeightedFit,WeightGain,WeightScale,WeightMax
2,MID,0.25,0.8,F1,Y,1.24059969142821,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F1,W25,-0.0237220595095116,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F1,X_MUL_Y,-3.39666192758179,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F1,X_MUL_W25,0.330579051894974,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F1,Y_MUL_W25,-0.604123788164441,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F1,W25_SQ,0.0562889268081878,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F1,X_SQ,0.658549530075632,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F1,Y_SQ,-0.117639632752588,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F2,CONST,-0.160515046795387,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F2,X,0.454506577962322,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F2,Y,0.300050853419585,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F2,W25,0.172322748270271,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F2,X_MUL_Y,0.409016559886215,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F2,X_MUL_W25,-0.358560341428538,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F2,Y_MUL_W25,-0.039689348493072,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F2,W25_SQ,-0.0630980469050781,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F2,X_SQ,-0.609574688886368,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F2,Y_SQ,-0.647433545370851,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F1,CONST,3.9810563361489,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F1,X,-30.8448994665728,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F1,Y,20.1666697847761,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F1,W25,-5.30312068543009,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F1,X_MUL_Y,-76.5985080286867,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F1,X_MUL_W25,24.255678990671,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F1,Y_MUL_W25,-13.0449880918071,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F1,W25_SQ,1.18916527862978,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F1,X_SQ,51.4551512346805,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F1,Y_SQ,24.8804473950639,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F2,CONST,-2.60574632224307,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F2,X,14.8463927478261,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F2,Y,-7.51822560101585,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F2,W25,3.65566255175212,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F2,X_MUL_Y,29.2507265982956,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F2,X_MUL_W25,-13.0203343783912,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F2,Y_MUL_W25,7.4003173679611,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F2,W25_SQ,-1.19608875733372,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F2,X_SQ,-19.9478373239485,21.4,78.6,1e-08,1,3,0.05,5
3,HIGH,0.8,1,F2,Y_SQ,-13.5286555440181,21.4,78.6,1e-08,1,3,0.05,5
