序号,目标色坐标,近邻序号,近邻色坐标,Δuv,Δuv统计,K点比例法Ra,精确法最佳Ra,近邻最佳Ra,近邻最佳RGB混色点,近邻最佳比例值,近邻边界
11,"(0.15185, 0.15089)",4,"(0.17008, 0.16838)",0.024832665781296,"",,,56.086210786212,"(0.17008, 0.16838)","W=0.0000, RGB=1.0000",
11,"(0.15185, 0.15089)",5,"(0.14889, 0.17300)",0.0265498398423871,"",,,20.2539278578872,"(0.14889, 0.17300)","W=0.0000, RGB=1.0000",
11,"(0.15185, 0.15089)",6,"(0.16904, 0.13479)",0.0293042009270476,"",,,52.0988219103016,"(0.16904, 0.13479)","W=0.0000, RGB=1.0000",
12,"(0.15216, 0.16921)",1,"(0.14889, 0.17300)",0.00550753417064831,"dUV max=0.029506, min=0.005508, avg=0.019721",20.5637,20.5637,20.2539278578872,"(0.14889, 0.17300)","W=0.0000, RGB=1.0000",
12,"(0.15216, 0.16921)",2,"(0.17008, 0.16838)",0.0166490634955348,"",,,56.086210786212,"(0.17008, 0.16838)","W=0.0000, RGB=1.0000",
12,"(0.15216, 0.16921)",3,"(0.14930, 0.15489)",0.0166656947146425,"",,,17.7527676332362,"(0.14930, 0.15489)","W=-0.0000, RGB=1.0000",
12,"(0.15216, 0.16921)",4,"(0.17067, 0.18766)",0.0240061038035908,"",,,56.9832945577976,"(0.17067, 0.18766)","W=0.0000, RGB=1.0000",
12,"(0.15216, 0.16921)",5,"(0.14843, 0.19293)",0.0259888937803074,"",,,22.3876745715369,"(0.14843, 0.19293)","W=0.0000, RGB=1.0000",
12,"(0.15216, 0.16921)",6,"(0.16954, 0.15083)",0.0295057913924032,"",,,54.547774231291,"(0.16954, 0.15083)","W=0.0000, RGB=1.0000",
13,"(0.15249, 0.18940)",1,"(0.14843, 0.19293)",0.00532356290679027,"dUV max=0.029729, min=0.005324, avg=0.019551",23.0788,23.0788,22.3876745715369,"(0.14843, 0.19293)","W=0.0000, RGB=1.0000",
13,"(0.15249, 0.18940)",2,"(0.17067, 0.18766)",0.0162573623449663,"",,,56.9832945577976,"(0.17067, 0.18766)","W=0.0000, RGB=1.0000",
13,"(0.15249, 0.18940)",3,"(0.14889, 0.17300)",0.0173742531221169,"",,,20.2539278578872,"(0.14889, 0.17300)","W=0.0000, RGB=1.0000",
13,"(0.15249, 0.18940)",4,"(0.17132, 0.20892)",0.0231795520473956,"",,,57.447983285835,"(0.17132, 0.20892)","W=0.0000, RGB=1.0000",
13,"(0.15249, 0.18940)",5,"(0.14792, 0.21497)",0.0254424465698125,"",,,24.2149302520357,"(0.14792, 0.21497)","W=0.0000, RGB=1.0000",
13,"(0.15249, 0.18940)",6,"(0.17008, 0.16838)",0.0297290118012224,"",,,56.086210786212,"(0.17008, 0.16838)","W=0.0000, RGB=1.0000",
14,"(0.15287, 0.21177)",1,"(0.14792, 0.21497)",0.00526446527866,"dUV max=0.029973, min=0.005264, avg=0.019416",25.2054,25.2054,24.2149302520357,"(0.14792, 0.21497)","W=0.0000, RGB=1.0000",
14,"(0.15287, 0.21177)",2,"(0.17132, 0.20892)",0.015899032323342,"",,,57.447983285835,"(0.17132, 0.20892)","W=0.0000, RGB=1.0000",
14,"(0.15287, 0.21177)",3,"(0.14843, 0.19293)",0.018092839634703,"",,,22.3876745715369,"(0.14843, 0.19293)","W=0.0000, RGB=1.0000",
14,"(0.15287, 0.21177)",4,"(0.17205, 0.23251)",0.0223530116466001,"",,,57.5847341754922,"(0.17205, 0.23251)","W=0.0000, RGB=1.0000",
14,"(0.15287, 0.21177)",5,"(0.14735, 0.23948)",0.0249114523514276,"",,,25.775598567451,"(0.14735, 0.23948)","W=0.0000, RGB=1.0000",
14,"(0.15287, 0.21177)",6,"(0.17067, 0.18766)",0.0299733789040935,"",,,56.9832945577976,"(0.17067, 0.18766)","W=0.0000, RGB=1.0000",
15,"(0.15329, 0.23669)",1,"(0.14735, 0.23948)",0.00533439317859601,"dUV max=0.030238, min=0.005334, avg=0.019315",27.0141,27.0141,25.775598567451,"(0.14735, 0.23948)","W=0.0000, RGB=1.0000",
15,"(0.15329, 0.23669)",2,"(0.17205, 0.23251)",0.0155763766803383,"",,,57.5847341754922,"(0.17205, 0.23251)","W=0.0000, RGB=1.0000",
15,"(0.15329, 0.23669)",3,"(0.14792, 0.21497)",0.0188203056247432,"",,,24.2149302520357,"(0.14792, 0.21497)","W=0.0000, RGB=1.0000",
15,"(0.15329, 0.23669)",4,"(0.17285, 0.25882)",0.021526483909225,"",,,57.354944091377,"(0.17285, 0.25882)","W=0.0000, RGB=1.0000",
15,"(0.15329, 0.23669)",5,"(0.14672, 0.26688)",0.0243969201401131,"",,,27.0837580849521,"(0.14672, 0.26688)","W=0.0000, RGB=1.0000",
15,"(0.15329, 0.23669)",6,"(0.17132, 0.20892)",0.0302383800234983,"",,,57.447983285835,"(0.17132, 0.20892)","W=0.0000, RGB=1.0000",
16,"(0.15376, 0.26461)",1,"(0.14672, 0.26688)",0.00552845274588222,"dUV max=0.030523, min=0.005528, avg=0.019250",28.5577,28.5577,27.0837580849521,"(0.14672, 0.26688)","W=0.0000, RGB=1.0000",
16,"(0.15376, 0.26461)",2,"(0.17285, 0.25882)",0.015291653783122,"",,,57.354944091377,"(0.17285, 0.25882)","W=0.0000, RGB=1.0000",
16,"(0.15376, 0.26461)",3,"(0.14735, 0.23948)",0.0195556601738814,"",,,25.775598567451,"(0.14735, 0.23948)","W=0.0000, RGB=1.0000",
16,"(0.15376, 0.26461)",4,"(0.17376, 0.28835)",0.0206999703521821,"",,,56.4213200805838,"(0.17376, 0.28835)","W=0.0000, RGB=1.0000",
16,"(0.15376, 0.26461)",5,"(0.14601, 0.29772)",0.0238999131725332,"",,,28.1107039873027,"(0.14601, 0.29772)","W=0.0000, RGB=1.0000",
16,"(0.15376, 0.26461)",6,"(0.17205, 0.23251)",0.0305234777381053,"",,,57.5847341754922,"(0.17205, 0.23251)","W=0.0000, RGB=1.0000",
17,"(0.15428, 0.29613)",1,"(0.14601, 0.29772)",0.00583427049501607,"dUV max=0.030828, min=0.005834, avg=0.019217",29.8732,29.8732,28.1107039873027,"(0.14601, 0.29772)","W=0.0000, RGB=1.0000",
17,"(0.15428, 0.29613)",2,"(0.17376, 0.28835)",0.0150470171005393,"",,,56.4213200805838,"(0.17376, 0.28835)","W=0.0000, RGB=1.0000",
17,"(0.15428, 0.29613)",3,"(0.17478, 0.32173)",0.0198734727446986,"",,,54.8174669337923,"(0.17478, 0.32173)","W=0.0000, RGB=1.0000",
17,"(0.15428, 0.29613)",4,"(0.14672, 0.26688)",0.0202980459436342,"",,,27.0837580849521,"(0.14672, 0.26688)","W=0.0000, RGB=1.0000",
17,"(0.15428, 0.29613)",5,"(0.14520, 0.33271)",0.0234215471361777,"",,,28.7577098777143,"(0.14520, 0.33271)","W=0.0000, RGB=1.0000",
17,"(0.15428, 0.29613)",6,"(0.17285, 0.25882)",0.0308281144943647,"",,,57.354944091377,"(0.17285, 0.25882)","W=0.0000, RGB=1.0000",
18,"(0.15489, 0.33197)",1,"(0.14520, 0.33271)",0.00623542443788296,"dUV max=0.031152, min=0.006235, avg=0.019215",30.9635,30.9635,28.7577098777143,"(0.14520, 0.33271)","W=0.0000, RGB=1.0000",
18,"(0.15489, 0.33197)",2,"(0.17478, 0.32173)",0.0148444486287279,"",,,54.8174669337923,"(0.17478, 0.32173)","W=0.0000, RGB=1.0000",
18,"(0.15489, 0.33197)",3,"(0.17595, 0.35976)",0.0190469931630498,"",,,51.2068250520583,"(0.17595, 0.35976)","W=0.0000, RGB=1.0000",
18,"(0.15489, 0.33197)",4,"(0.14601, 0.29772)",0.0210467189055551,"",,,28.1107039873027,"(0.14601, 0.29772)","W=0.0000, RGB=1.0000",
18,"(0.15489, 0.33197)",5,"(0.14428, 0.37273)",0.0229629870468922,"",,,27.1445743522958,"(0.14428, 0.37273)","W=-0.0000, RGB=1.0000",
18,"(0.15489, 0.33197)",6,"(0.17376, 0.28835)",0.0311517170729426,"",,,56.4213200805838,"(0.17376, 0.28835)","W=0.0000, RGB=1.0000",
19,"(0.15558, 0.37310)",1,"(0.14428, 0.37273)",0.00671484973011661,"dUV max=0.031494, min=0.006715, avg=0.019240",28.8463,28.8463,27.1445743522958,"(0.14428, 0.37273)","W=-0.0000, RGB=1.0000",
19,"(0.15558, 0.37310)",2,"(0.17595, 0.35976)",0.0146856892866466,"",,,51.2068250520583,"(0.17595, 0.35976)","W=0.0000, RGB=1.0000",
19,"(0.15558, 0.37310)",3,"(0.17730, 0.40350)",0.0182205340601811,"",,,47.1495707697998,"(0.17730, 0.40350)","W=0.0000, RGB=1.0000",
19,"(0.15558, 0.37310)",4,"(0.14520, 0.33271)",0.0218010313406265,"",,,28.7577098777143,"(0.14520, 0.33271)","W=0.0000, RGB=1.0000",
19,"(0.15558, 0.37310)",5,"(0.14321, 0.41895)",0.0225254425316176,"",,,23.5759065544549,"(0.14321, 0.41895)","W=0.0000, RGB=1.0000",
19,"(0.15558, 0.37310)",6,"(0.17478, 0.32173)",0.0314937008491171,"",,,54.8174669337923,"(0.17478, 0.32173)","W=0.0000, RGB=1.0000",
20,"(0.15637, 0.42077)",1,"(0.14321, 0.41895)",0.00725705030584158,"dUV max=0.031355, min=0.007257, avg=0.019208",25.6217,25.6217,23.5759065544549,"(0.14321, 0.41895)","W=0.0000, RGB=1.0000",
20,"(0.15637, 0.42077)",2,"(0.17730, 0.40350)",0.0145721710058204,"",,,47.1495707697998,"(0.17730, 0.40350)","W=0.0000, RGB=1.0000",
20,"(0.15637, 0.42077)",3,"(0.17886, 0.45432)",0.0173940983551657,"",,,42.4207677023497,"(0.17886, 0.45432)","W=0.0000, RGB=1.0000",
20,"(0.15637, 0.42077)",4,"(0.14197, 0.47294)",0.022110161275772,"",,,19.4818265670271,"(0.14197, 0.47294)","W=0.0000, RGB=1.0000",
20,"(0.15637, 0.42077)",5,"(0.14428, 0.37273)",0.0225604175849303,"",,,27.1445743522958,"(0.14428, 0.37273)","W=-0.0000, RGB=1.0000",
20,"(0.15637, 0.42077)",6,"(0.21322, 0.43698)",0.0313553899255596,"",,,61.6675239402976,"(0.21322, 0.43698)","W=0.0000, RGB=1.0000",
21,"(0.15731, 0.47670)",1,"(0.14197, 0.47294)",0.00784902762455013,"dUV max=0.030728, min=0.007849, avg=0.019115",22.0915,22.0915,19.4818265670271,"(0.14197, 0.47294)","W=0.0000, RGB=1.0000",
21,"(0.15731, 0.47670)",2,"(0.17886, 0.45432)",0.0145049560181266,"",,,42.4207677023497,"(0.17886, 0.45432)","W=0.0000, RGB=1.0000",
21,"(0.15731, 0.47670)",3,"(0.18069, 0.51411)",0.0165676895494233,"",,,36.1213830665206,"(0.18069, 0.51411)","W=0.0000, RGB=1.0000",
21,"(0.15731, 0.47670)",4,"(0.14049, 0.53684)",0.021718420414525,"",,,13.9068556441533,"(0.14049, 0.53684)","W=0.0000, RGB=1.0000",
21,"(0.15731, 0.47670)",5,"(0.14321, 0.41895)",0.023324382070355,"",,,23.5759065544549,"(0.14321, 0.41895)","W=0.0000, RGB=1.0000",
21,"(0.15731, 0.47670)",6,"(0.21791, 0.49307)",0.0307277933238996,"",,,55.6077806235323,"(0.21791, 0.49307)","W=0.0000, RGB=1.0000",
22,"(0.15843, 0.54322)",1,"(0.14049, 0.53684)",0.00848036399138376,"dUV max=0.030110, min=0.008480, avg=0.019043",17.3960,17.3960,13.9068556441533,"(0.14049, 0.53684)","W=0.0000, RGB=1.0000",
22,"(0.15843, 0.54322)",2,"(0.18069, 0.51411)",0.0144846889375878,"",,,36.1213830665206,"(0.18069, 0.51411)","W=0.0000, RGB=1.0000",
22,"(0.15843, 0.54322)",3,"(0.18288, 0.58547)",0.0157413118795393,"",,,25.3039167812176,"(0.18288, 0.58547)","W=0.0000, RGB=1.0000",
22,"(0.15843, 0.54322)",4,"(0.13872, 0.61364)",0.0213515156892775,"",,,4.02163716326177,"(0.13872, 0.61364)","W=0.0000, RGB=1.0000",
22,"(0.15843, 0.54322)",5,"(0.14197, 0.47294)",0.0240924892775183,"",,,19.4818265670271,"(0.14197, 0.47294)","W=0.0000, RGB=1.0000",
22,"(0.15843, 0.54322)",6,"(0.22346, 0.55958)",0.0301098151936311,"",,,44.1913950633125,"(0.22346, 0.55958)","W=0.0000, RGB=1.0000",
23,"(0.15978, 0.62365)",1,"(0.13872, 0.61364)",0.00914290957341931,"dUV max=0.029502, min=0.009143, avg=0.018991",8.5988,8.5988,4.02163716326177,"(0.13872, 0.61364)","W=0.0000, RGB=1.0000",
23,"(0.15978, 0.62365)",2,"(0.18288, 0.58547)",0.0145115664700795,"",,,25.3039167812176,"(0.18288, 0.58547)","W=0.0000, RGB=1.0000",
23,"(0.15978, 0.62365)",3,"(0.18554, 0.67210)",0.0149149705208477,"",,,-4.23129451769033,"(0.18554, 0.67210)","W=0.0000, RGB=1.0000",
23,"(0.15978, 0.62365)",4,"(0.13655, 0.70769)",0.0210107482594696,"",,,-23.3938114981524,"(0.13655, 0.70769)","W=0.0000, RGB=1.0000",
23,"(0.15978, 0.62365)",5,"(0.14049, 0.53684)",0.0248643552797321,"",,,13.9068556441533,"(0.14049, 0.53684)","W=0.0000, RGB=1.0000",
23,"(0.15978, 0.62365)",6,"(0.23016, 0.63970)",0.0295020599738209,"",,,12.6483803329603,"(0.23016, 0.63970)","W=-0.0000, RGB=1.0000",
24,"(0.16144, 0.72288)",1,"(0.13655, 0.70769)",0.00983035608587315,"dUV max=0.045942, min=0.009830, avg=0.027339",-23.0539,-23.0539,-23.3938114981524,"(0.13655, 0.70769)","W=0.0000, RGB=1.0000",
24,"(0.16144, 0.72288)",2,"(0.18554, 0.67210)",0.0145853279866571,"",,,-4.23129451769033,"(0.18554, 0.67210)","W=0.0000, RGB=1.0000",
24,"(0.16144, 0.72288)",3,"(0.13872, 0.61364)",0.0256396406104309,"",,,4.02163716326177,"(0.13872, 0.61364)","W=0.0000, RGB=1.0000",
24,"(0.16144, 0.72288)",4,"(0.18288, 0.58547)",0.0334585568288326,"",,,25.3039167812176,"(0.18288, 0.58547)","W=0.0000, RGB=1.0000",
24,"(0.16144, 0.72288)",5,"(0.23016, 0.63970)",0.0345794458895431,"",,,12.6483803329603,"(0.23016, 0.63970)","W=-0.0000, RGB=1.0000",
24,"(0.16144, 0.72288)",6,"(0.14049, 0.53684)",0.0459417953007193,"",,,13.9068556441533,"(0.14049, 0.53684)","W=0.0000, RGB=1.0000",
25,"(0.16470, 0.03853)",1,"(0.16598, 0.03503)",0.0097967027178037,"dUV max=0.028379, min=0.009797, avg=0.019105",-63.0490,-63.0490,-66.8962067323541,"(0.16598, 0.03503)","W=-0.0000, RGB=1.0000",
25,"(0.16470, 0.03853)",2,"(0.16624, 0.04329)",0.0116715961624337,"",,,-35.3483402906986,"(0.16624, 0.04329)","W=0.0000, RGB=1.0000",
25,"(0.16470, 0.03853)",3,"(0.15204, 0.03623)",0.0172944509732318,"",,,-48.5850147304478,"(0.15204, 0.03623)","W=0.0000, RGB=1.0000",
25,"(0.16470, 0.03853)",4,"(0.18023, 0.04196)",0.0213078844038489,"",,,-127.066921940038,"(0.18023, 0.04196)","W=0.0000, RGB=1.0000",
25,"(0.16470, 0.03853)",5,"(0.15185, 0.04464)",0.0261789375268794,"",,,-38.5398193108779,"(0.15185, 0.04464)","W=0.0000, RGB=1.0000",
25,"(0.16470, 0.03853)",6,"(0.15222, 0.02833)",0.0283788902858945,"",,,-59.2465654780849,"(0.15222, 0.02833)","W=0.0000, RGB=1.0000",
26,"(0.16534, 0.04733)",1,"(0.16624, 0.04329)",0.0103172119776017,"dUV max=0.027556, min=0.010317, avg=0.018920",-33.3214,-33.3192,-35.3483402906986,"(0.16624, 0.04329)","W=0.0000, RGB=1.0000",
26,"(0.16534, 0.04733)",2,"(0.16651, 0.05208)",0.0109810625160161,"",,,-11.8088876173841,"(0.16651, 0.05208)","W=0.0000, RGB=1.0000",
26,"(0.16534, 0.04733)",3,"(0.15185, 0.04464)",0.0179015191411171,"",,,-38.5398193108779,"(0.15185, 0.04464)","W=0.0000, RGB=1.0000",
26,"(0.16534, 0.04733)",4,"(0.18095, 0.05059)",0.0206757500595506,"",,,-73.3221639060312,"(0.17531, 0.03957)","W=0.2457, RGB=0.7543",B-R
